Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,coppel.com,liverpool.com.mx,chedraui.com.mx,bodegaaurrera.com.mx,walmart.com.mx,coppel.com (pages),liverpool.com.mx (pages),chedraui.com.mx (pages),bodegaaurrera.com.mx (pages),walmart.com.mx (pages),Results
funda tipo bolsa para celular,Informational,90,26,0.00,1.00,7,2,0,13,5,https://www.coppel.com/funda-tipo-cartera-para-celular-nite-ize-color-negro-xl-mkp-7763032,https://www.liverpool.com.mx/tienda/?s=bolsa%20para%20celular//,,https://www.bodegaaurrera.com.mx/browse/celulares/accesorios-celulares/fundas-para-celulares/264800_264823_264819,https://super.walmart.com.mx/ip/funda-para-celular-tipo-bolsa-de-mujer-t2go-tg-b75846-varios-modelos-1-pza/00750303627584,77
funda transparente iphone 6s plus,Informational,90,26,0.00,1.00,10,33,0,0,20,https://www.coppel.com/funda-de-silicona-para-iphone-6-plus-y-6s-plus-transparente-venta-internacional-mkp-439020816n4331,https://www.liverpool.com.mx/tienda/pdp/funda-para-iphone-6-plus-y-6s-plus-adidas-originals-suede-rosa/1083645985,,,https://www.walmart.com.mx/ip/accesorios-celulares/compatible-iphone-6s-plus-aplicar-a-la-funda-transparente-para-telefono-compatible-con-iphone-11-12-13-14-pro-max-funda-de-silicona-suave-compatible-con-iphone-13-mini-x-xs-max-xr/00821131943894,60
fundas aesthetic iphone 11,Informational,90,22,0.06,0.66,31,20,0,0,0,https://www.coppel.com/fundas-y-carcasas-iphone,https://www.liverpool.com.mx/tienda/?s=funda%20iphone%2011//,,,,49
fundas animadas para iphone 7 plus,Informational,90,26,0.00,0.00,25,20,0,16,10,https://www.coppel.com/funda-apple-para-iphone-7-plus-y-8-plus-pm-2602043,https://www.liverpool.com.mx/tienda?s=iphone+7+plus+funda//,,https://www.bodegaaurrera.com.mx/ip/accesorios-y-herramientas/fundas-de-silicona-con-dibujos-animados-de-gato-y-raton-para-iphone-14-13-12-11-pro-max-mini-11-pro-max-x-xr-xs-max-8-7-6-6s-plus-5-se-tan-jianjun-unisex/00485782324911,https://www.walmart.com.mx/ip/celulares/accesorios-celulares/carcasas-para-iphone/funda-para-iphone-7-plus-8-plus-con-muneco-de-dibujos-animados-funda-suave-y-esponjosa-de-piel-de-felpa-linda-en-3d-compatible-con-la-funda-para-iphone-iphone-7-plus-8-plus-bowknot-be-yongsheng-8390612166952/00839061216695,53
fundas de apple iphone 7 plus,Informational,90,23,0.00,0.00,8,4,0,18,0,https://www.coppel.com/funda-apple-para-iphone-7-plus-y-8-plus-pm-2602043,https://www.liverpool.com.mx/tienda?s=iphone+7+plus+funda//,,https://www.bodegaaurrera.com.mx/ip/accesorios-celulares/funda-para-apple-iphone-7-plus-animal-print-vaca-tpu-policarbonato-instacase-iphone-7-plus/00750304149485,,85
fundas de celular de stitch,Informational,90,27,0.00,0.49,14,0,0,21,22,https://www.coppel.com/funda-de-stitch-gairet-para-iphone-12-pm-2551073,,,https://www.bodegaaurrera.com.mx/ip/accesorios-celulares/disney-stitch-funda-de-silicona-con-cordon-para-telefono-movil-carcasa-para-iphone-15-14-13-12-11-pro-max-mini-x-xr-xs-max-se20-8-7-plus-6-6s-plus/00521522400995,https://www.walmart.com.mx/ip/accesorios-celulares/disney-stitch-funda-de-silicona-con-correa-de-mano-para-telefono-carcasa-para-iphone-14-13-12-11-pro-max-mini-x-xr-xs-max-se20-8-7-plus-6-6s-plus-fivean-unisex/00484322770955,81
fundas de celular tumblr,Informational,90,28,0.00,0.00,49,0,0,0,0,https://www.coppel.com/fundas-y-carcasas,,,,,51
fundas de cristal para iphone,Informational,90,21,0.12,0.97,8,14,0,16,22,https://www.coppel.com/fundas-y-carcasas-iphone,https://www.liverpool.com.mx/tienda?s=fundas%2Biphone//,,https://www.bodegaaurrera.com.mx/ip/celulares/fundas-micas-y-accesorios/protectores-micas-y-soportes/funda-de-cristal-hd-premium-para-iphone-11-12-13-14-promax-3d-erosionada-patron-lv-cubierta-protectora-de-lente-de-cobertura-total/00485622401203,https://www.walmart.com.mx/browse/celulares/accesorios-celulares/carcasas-para-iphone/264800_264823_264831,96
fundas de gel para celular,Informational,90,30,0.06,0.65,23,5,0,17,0,https://www.coppel.com/protectores-de-pantalla-para-celular,https://www.liverpool.com.mx/tienda/micas-para-celulares/cat3460049,,https://www.bodegaaurrera.com.mx/browse/celulares/accesorios-celulares/-fundas-para-celulares/264800_264823_264819,,940000
fundas de goma para iphone 6,Informational,90,20,0.00,0.11,18,4,0,0,0,https://www.coppel.com/fundas-y-carcasas-iphone,https://www.liverpool.com.mx/tienda?s=funda+iphone+6//,,,,59
fundas de goma para iphone 6 plus,Informational,90,28,0.00,0.00,11,5,0,0,14,https://www.coppel.com/funda-de-silicona-para-iphone-6-plus-y-6s-plus-venta-internacional-mkp-439019831,https://www.liverpool.com.mx/tienda/?s=funda%20iphone%206,,,https://www.walmart.com.mx/ip/accesorios-celulares/funda-para-iphone-6-plus-3-en-1-hibrida-de-plastico-duro-de-goma-suave-resistente-resistente-a-prueba-de-golpes-proteccion-completa-para-iphone-6-plus/00691209122316,62
fundas de iphone 4s,Informational,90,25,0.00,0.00,50,71,0,0,14,https://www.coppel.com/fundas-y-carcasas-iphone,https://www.liverpool.com.mx/tienda/?s=iphone,,,https://www.walmart.com.mx/ip/accesorios-celulares/funda-para-iphone-4s-4g-retro-cassette-tape-protector-de-piel-de-silicona/00315328203944,72
fundas de iphone xr originales,Informational,90,25,0.00,0.00,6,17,0,33,18,https://www.coppel.com/funda-apple-para-iphone-xr-pm-2386933,https://www.liverpool.com.mx/tienda/?s=fundas%20iphone//,,https://www.bodegaaurrera.com.mx/ip/accesorios-celulares/funda-de-silicona-con-logotipo-oficial-original-para-iphone-12-14-13-11-pro-max-fundas-para-apple-iphone-xr-7-8-plus-14-xs-max-funda-completa-dengxun-unisex/00485522660731,https://www.walmart.com.mx/browse/celulares/accesorios-celulares/carcasas-para-iphone/264800_264823_264831,83
fundas de iphone xs max,Informational,90,24,0.12,1.00,8,7,0,32,27,https://www.coppel.com/funda-apple-para-iphone-xs-max-pm-2603273,https://www.liverpool.com.mx/tienda/?s=iphone%20x%20case,,https://www.bodegaaurrera.com.mx/es/ip/accesorios-celulares/funda-iphone-xs-max-gadgets-and-fun-crystal-shell-uso-rudo-anti-golpes-funda-transparente/00067962807041,https://www.walmart.com.mx/ip/accesorios-celulares/funda-ultra-hybrid-para-iphone-xs-max-matte-black-spigen-spiggen-original/00880961376622,4580000
fundas de moda para iphone 6,Informational,90,26,0.00,0.00,6,8,0,26,18,https://www.coppel.com/funda-blob-para-iphone-se-6-6s-7-y-8-pm-2013133,https://www.liverpool.com.mx/tienda?s=funda+iphone+6//,,https://www.bodegaaurrera.com.mx/ip/fundas-micas-y-accesorios/funda-de-telefono-de-dibujos-animados-de-moda-para-iphone-6-s-7-8-plus-11-12-13-14-pro-max-x-xr-xs-se-2020-14plus-silicona-suave-protector-de-helado-de-sonrisa-transparente-a-prueba-de-golpes-cubierta/00485782869635,https://www.walmart.com.mx/ip/accesorios-celulares/funda-case-uso-rudo-360-para-iphone-6-6s-7-8-antishock-3-en-1-acrigel-rigida-y-flexible-netonbox-funda-360-para-celular/00750095600243,64
fundas de piel para iphone 11,Informational,90,21,0.00,0.85,10,7,0,71,21,https://www.coppel.com/funda-de-piel-para-iphone-11-pro-marron-pm-2399083,https://www.liverpool.com.mx/tienda/?s=funda%20iphone%2011//,,https://www.bodegaaurrera.com.mx/ip/protector-de-lente-de-camara-de-telefono-2x-protector-resistente-a-aranazos-para-pelicula-de-lente-s23-2-piezas/00078239897680,https://www.walmart.com.mx/ip/accesorios-celulares/funda-de-cuero-para-iphone-11-pro-negra-apple-leather-case-piel/00019019926953,82
fundas de silicona iphone 8 plus,Informational,90,29,0.00,0.00,10,5,0,32,21,https://www.coppel.com/funda-apple-para-iphone-7-plus-y-8-plus-pm-2602373,https://www.liverpool.com.mx/tienda?s=funda+iphone+8,,https://www.bodegaaurrera.com.mx/ip/accesorios-celulares/funda-para-apple-iphone-8-plus-animal-print-vaca-tpu-policarbonato-instacase-iphone-8-plus/00750304149486,https://www.walmart.com.mx/ip/accesorios-celulares/funda-de-silicona-para-apple-iphone-8-plus-7-plus-negra-nueva-caja-abierta-manzana-mqgw2zm-a/00019019849645,83
fundas iphone 11 disney,Informational,90,25,0.00,0.13,34,0,0,27,14,https://www.coppel.com/fundas-y-carcasas-iphone,,,https://www.bodegaaurrera.com.mx/ip/funda-de-telefono-de-disney-para-iphone-carcasa-transparente-de-silicona-suave-mickey-minnie-mouse-13-14-12-mini-11-pro-x-xr-xs-8-7-plus-fivean-unisex/00485522521774,https://www.walmart.com.mx/ip/accesorios-celulares/funda-blanda-3d-mickey-mouse-para-iphone-14-pro-max-14-plus-11-12-13-12pro-slide-lente-de-camara-proteccion-de-la-cubierta-del-telefono/00485782869092,68
fundas iphone 5s,Informational,90,25,0.11,0.91,17,16,0,0,0,https://www.coppel.com/funda-griffin-para-iphone-5-y-5s-iphone-se-2016-color-rojo-mkp-43902039,https://www.liverpool.com.mx/tienda?s=fundas+iphone+5,,,,67
fundas iphone 6 s plus,Informational,90,23,0.00,0.33,9,4,0,0,33,https://www.coppel.com/funda-blob-para-iphone-se-6-6s-7-y-8-pm-2013133,https://www.liverpool.com.mx/tienda?s=funda+iphone+6//,,,https://www.walmart.com.mx/ip/fundas-micas-y-accesorios/funda-iphone-6s-plus-spigen-ultra-hybrid-crystal-spigen-iphone-6s-plus/00880940421979,93
fundas iphone 6s apple,Informational,90,35,0.00,0.00,13,7,0,50,29,https://www.coppel.com/funda-de-piel-apple-para-iphone-6s-plus-product-(roja)-venta-internacional--mkp-439023132,https://www.liverpool.com.mx/tienda?s=funda+iphone+6//,,https://www.bodegaaurrera.com.mx/ip/accesorios-celulares/funda-de-telefono-para-apple-iphone-8-plus-xs-x-12-mini-7-6s-11-pro-15-pro-se-14-pro-max-13-xr-marvel-spider-man-iron-man/00569922648283,https://www.walmart.com.mx/ip/accesorios-celulares/con-logo-funda-de-silicona-original-de-lujo-para-apple-iphone-14-pro-max-13-7-8-6s-plus-oficial-para-11-12-xr-x-xs/00530322895883,18900000
fundas iphone barcelona,"Informational, Transactional",90,19,0.09,0.96,70,90,0,91,0,https://www.coppel.com/fundas-y-carcasas-iphone,https://www.liverpool.com.mx/tienda?s=fundas%2Biphone//,,https://www.bodegaaurrera.com.mx/browse/celulares/accesorios-celulares/carcasas-para-iphone/264800_264823_264831,,91
fundas iphone mercado libre,Navigational,90,33,0.00,1.00,46,24,0,0,40,https://www.coppel.com/funda-para-iphone-11,https://www.liverpool.com.mx/tienda/?s=iphone,,,https://www.walmart.com.mx/content/celulares/264800,4520000
fundas iphone xr originales,Informational,90,35,0.07,1.00,8,12,0,0,21,https://www.coppel.com/funda-apple-para-iphone-xr-pm-2386933,https://www.liverpool.com.mx/tienda/pdp/funda-para-iphone-xr-de-poliuretano/1117075555,,,https://www.walmart.com.mx/ip/accesorios-celulares/funda-para-telefono-compatible-con-iphone-xr-funda-transparente-con-purpurina-para-ninas-y-mujeres-ormromra-czjp-hy29/00903487016509,78
fundas para celular alcatel 1s,Informational,90,22,0.00,0.00,30,0,0,0,0,https://www.coppel.com/fundas-y-carcasas,,,,,71
fundas para celular con brillos,Informational,90,27,0.00,1.00,27,0,0,47,26,https://www.coppel.com/fundas-y-carcasas,,,https://www.bodegaaurrera.com.mx/ip/celulares/fundas-micas-y-accesorios/fundas-para-celulares/funda-wild-flag-para-iphone-x-y-xs-design-negra-brillos-wild-flag-design/00072667936596,https://www.walmart.com.mx/ip/accesorios-celulares/funda-wild-flag-para-iphone-xr-design-negra-brillos-wild-flag-design/00072667936597,97
fundas para celular con flores,Informational,90,27,0.00,1.00,63,12,0,32,20,https://www.coppel.com/ubicacion-de-tiendas-coppel/,https://www.liverpool.com.mx/tienda/pdp/funda-para-celular-samsung-flores-girasoles-de-silic%C3%B3n/9937662548,,https://www.bodegaaurrera.com.mx/ip/celulares/accesorios-celulares/fundas-para-celulares/funda-para-galaxy-grand-prime-flores-flores-de-otono-uso-rudo-instacase-protector-para-galaxy-grand-prime-antigolpes-case-flores-flores-de-otono/00750303686489?athcpid=00750303686489&athpgid=AthenaItempage&athcgid=null&athznid=si&athieid=v0&athstid=CS020&athguid=GWfWjqNxakCm7QuP_OMgrau65WQsvg9zXunk&athancid=null&athena=true,https://www.walmart.com.mx/ip/accesorios-celulares/funda-de-telefono-con-flores-para-iphone-13-fundas-para-iphone-15-16-pro-max-11-14-13-12-xr-x-xs-7-8-plus-se-2022-2020-carcasa-de-silicona-suave/00839122562951,1320000
fundas para celular iphone 6 plus,Informational,90,30,0.00,0.50,12,5,0,0,21,https://www.coppel.com/funda-premium-fibra-de-carbono-para-iphone-6-plus-6s-plus-suave-flexible-color-negro-mkp-43901376,https://www.liverpool.com.mx/tienda?s=funda+iphone+6//,,,https://www.walmart.com.mx/ip/accesorios-celulares/funda-para-iphone-6-plus-hit-jelly-transparente-atti-hit-jelly/00750302397341,78
fundas para celular moto g6 play,Informational,90,27,0.00,0.67,14,0,0,15,8,https://www.coppel.com/funda-zizo-zv-sleek-para-motorola-moto-g6-play-tpu-delgada-color-negro-mkp-43901481,,,https://www.bodegaaurrera.com.mx/ip/accesorios-celulares/funda-para-motorola-moto-g6-play-con-diseno-de-corazones-lienas-instacase-love-collection/00750303692843,https://www.walmart.com.mx/ip/accesorios-celulares/funda-para-moto-g6-play-corazones-manchas-uso-rudo-instacase-protector-para-moto-g6-play-antigolpes-case-corazones-manchas/00750303693014,47
fundas para celular para niñas,Informational,90,30,0.00,0.10,45,15,0,38,16,https://www.coppel.com/CategoryDisplay?storeId=10159&urlLangId=-5&urlRequestType=Base&categoryId=248018&langId=-5&catalogId=10051,https://www.liverpool.com.mx/tienda/fundas-para-celular/catst46663863,,https://www.bodegaaurrera.com.mx/browse/celulares/accesorios-celulares/fundas-para-celulares/264800_264823_264819,https://www.walmart.com.mx/browse/celulares/accesorios-celulares/fundas-para-celulares/264800_264823_264819,1630000
fundas para celular samsung a30,Informational,90,23,0.05,1.00,9,5,0,14,19,https://www.coppel.com/funda-samsung-para-galaxy-a30s-pm-2581453,https://www.liverpool.com.mx/tienda/pdp/funda-para-galaxy-a30-de-policarbonato/1167169020,,https://www.bodegaaurrera.com.mx/ip/accesorios-celulares/funda-para-galaxy-a30-antigolpes-uso-rudo-instacase-protector-para-galaxy-a30-antigolpes-case-anticaidas/00750303838034,https://www.walmart.com.mx/ip/accesorios-celulares/funda-samsung-original-gradation-cover-para-samsung-galaxy-a30-morado-samsung-gradation-cover/00880164378178,77
fundas para celular samsung a80,Informational,90,25,0.05,1.00,30,14,0,10,7,https://www.coppel.com/funda-para-celular-blob-para-samsung-a55-a35-pm-2591623,https://www.liverpool.com.mx/tienda/?s=funda%20galaxy//,,https://www.bodegaaurrera.com.mx/ip/accesorios-celulares/funda-para-galaxy-a80-standig-cover-negra/00880164397182,https://www.walmart.com.mx/ip/accesorios-celulares/funda-de-telefono-para-samsung-a80-de-uso-rudo-shockproof-cristal-9d/00750230036702,87
fundas para celular samsung j8,Informational,90,23,0.06,0.97,20,55,0,13,11,https://www.coppel.com/funda-instacase-para-galaxy-j8-transparente-mkp-439016458n4833,https://www.liverpool.com.mx/tienda/?s=funda%20samsung,,https://www.bodegaaurrera.com.mx/ip/accesorios-celulares/funda-para-galaxy-j8-flores-naranjas-y-rosas-uso-rudo-instacase-protector-para-galaxy-j8-antigolpes-case-flores-naranjas-y-rosas/00750303686579,https://www.walmart.com.mx/ip/accesorios-celulares/funda-para-galaxy-j8-ojo-turco-mistico-uso-rudo-instacase-protector-para-galaxy-j8-antigolpes-case-ojo-turco-mistico/00750303751824,76
fundas para celular samsung s7 edge,Informational,90,29,0.00,0.33,12,0,0,20,22,https://www.coppel.com/funda-prodigee-scene-para-samsung-s7-edge-transparente-mkp-43901743,,,https://www.bodegaaurrera.com.mx/ip/accesorios-celulares/funda-triple-mixx-para-samsung-galaxy-s7-edge-rosa-vrs-trile-mixx/00880947768071,https://www.walmart.com.mx/ip/fundas-micas-y-accesorios/funda-de-acrigel-para-samsung-s7-edge/00750303916926,57
fundas para celular xiaomi,Informational,90,22,0.08,0.80,11,6,0,30,18,https://www.coppel.com/fundas-y-carcasas,https://www.liverpool.com.mx/tienda/pdp/funda-para-xiaomi-redmi-note-de-pl%C3%A1stico/99967619481,,https://www.bodegaaurrera.com.mx/ip/accesorios-celulares/funda-para-xiaomi-poco-m3-mandala-rosa-uso-rudo-instacase-protector-para-xiaomi-poco-m3-antigolpes-case-mandala-rosa/00750303697741,https://www.walmart.com.mx/ip/accesorios-celulares/funda-gangxun-para-xiaomi-redmi-14c-transparente-con-brillos/00079477444610,89
fundas para celular xiaomi mi a2,Informational,90,25,0.00,0.00,5,0,0,16,14,https://www.coppel.com/funda-blob-para-xiaomi-redmi-a2-pm-2121063,,,https://www.bodegaaurrera.com.mx/ip/accesorios-celulares/funda-para-xiaomi-mi-a2-lite-corazones-true-love-uso-rudo-instacase-protector-para-xiaomi-mi-a2-lite-antigolpes-case-corazones-true-love/00750303697341,https://www.walmart.com.mx/ip/accesorios-celulares/funda-para-xiaomi-mi-a2-lite-flores-uso-rudo-instacase-protector-para-xiaomi-mi-a2-lite-antigolpes-case-flores/00750303696572,57
fundas para celulares creativas,Informational,90,30,0.00,0.00,80,68,0,33,0,https://www.coppel.com/fundas-y-carcasas,https://www.liverpool.com.mx/tienda/fundas-para-celular/catst46663863,,https://www.bodegaaurrera.com.mx/ip/accesorios-celulares/fundas-modernas-para-iphone-con-creativas-ilustraciones-florales-y-de-calaveras/00485622842435,,101000
fundas para celulares inteligentes,"Informational, Transactional",90,27,0.00,0.00,10,30,0,19,24,https://www.coppel.com/fundas-y-carcasas,https://www.liverpool.com.mx/tienda/micas-para-celulares/cat3460049,,https://www.bodegaaurrera.com.mx/browse/celulares/accesorios-celulares/fundas-para-celulares/264800_264823_264819,https://www.walmart.com.mx/browse/celulares/accesorios-celulares/fundas-para-celulares/264800_264823_264819,14300000
fundas para celulares tienda online,Informational,90,29,0.00,0.00,7,4,0,73,10,https://www.coppel.com/fundas-y-carcasas,https://www.liverpool.com.mx/tienda/fundas-para-celular/catst46663863,,https://www.bodegaaurrera.com.mx/content/celulares/accesorios-celulares/264800_264823,https://www.walmart.com.mx/browse/celulares/accesorios-celulares/fundas-para-celulares/264800_264823_264819,8970000
fundas para el celular zte blade v6,"Informational, Transactional",90,25,0.00,0.00,8,26,0,5,4,https://www.coppel.com/funda-instacase-para-zte-blade-v6-transparente-mkp-439016387,https://www.liverpool.com.mx/tienda/pdp/funda-para-zte-de-tpu/1167699835,,https://www.bodegaaurrera.com.mx/ip/accesorios-celulares/funda-para-zte-blade-v6-patron-de-mariposas-uso-rudo-instacase-protector-para-zte-blade-v6-antigolpes-case-patron-de-mariposas/00750303809042,https://www.walmart.com.mx/ip/accesorios-celulares/funda-para-zte-blade-v6-frasco-estelar-uso-rudo-instacase-protector-para-zte-blade-v6-antigolpes-case-frasco-estelar/00750303809177,34
fundas para el iphone 8 plus amazon,"Informational, Transactional",90,32,0.00,0.00,46,24,0,0,0,https://www.coppel.com/audifonos,https://www.liverpool.com.mx/tienda?s=iphone+8+plus+funda//,,,,2020000
fundas para iphone 4s para mujer,Informational,90,29,0.00,0.00,13,16,0,11,12,https://www.coppel.com/fundas-y-carcasas-iphone,https://www.liverpool.com.mx/tienda/?s=fundas%20iphone,,https://www.bodegaaurrera.com.mx/ip/accesorios-celulares/funda-para-iphone-4s-4g-retro-cassette-tape-protector-de-piel-de-silicona/00271406566764,https://www.walmart.com.mx/ip/accesorios-celulares/aeropostale-funda-para-iphone-4-4s-a-cuadros-para-mujer-azul-talla-unica/00063535393510,47
fundas para iphone 5 de goma,Informational,90,27,0.00,0.00,15,6,0,0,0,https://www.coppel.com/funda-griffin-para-iphone-5-y-5s-iphone-se-2016-color-rojo-mkp-43902039,https://www.liverpool.com.mx/tienda?s=fundas+iphone+5,,,,59
fundas para iphone 5c para mujer,Informational,90,29,0.00,0.00,12,0,0,22,0,https://www.coppel.com/fundas-y-carcasas-iphone,,,https://www.bodegaaurrera.com.mx/ip/accesorios-celulares/funda-para-iphone-12-y-12-pro-negro-griffin-survivor-clear/00019105811835,,56
fundas para iphone 7 plus negro,Informational,90,21,0.00,1.00,22,9,0,30,14,https://www.coppel.com/funda-iphone-7-y-8-plus-gadgets-and-fun-transparente-mkp-43903632,https://www.liverpool.com.mx/tienda/pdp/funda-para-iphone-7-plus-y-8-plus-de-poliuretano/1117079241,,https://www.bodegaaurrera.com.mx/ip/fundas-micas-y-accesorios/funda-fitfort-sumergible-2-5m-p-iphone-7-plus-negro-cristal-generico-no-aplica/00061155313155,https://www.walmart.com.mx/ip/accesorios-celulares/funda-molan-cano-case-de-silicon-suave-para-iphone-7-8-plus-con-orificion-negro-molan-cano-funda-de-silicon-suave-acabado-mate/00750302898994,79
fundas para iphone 8 mujer,Informational,90,22,0.00,0.86,11,3,0,21,14,https://www.coppel.com/fundas-y-carcasas-iphone,https://www.liverpool.com.mx/tienda?s=funda+iphone+8//,,https://www.bodegaaurrera.com.mx/browse/celulares/accesorios-celulares/carcasas-para-iphone/264800_264823_264831,https://www.walmart.com.mx/ip/accesorios-celulares/funda-ultra-impacto-para-iphone-8-plus-uso-rudo-instacase-protector-para-iphone-8-plus-ultra-impacto-case-anticaidas/00750303718365,66
fundas para iphone 8 plus gucci,Informational,90,27,0.00,0.00,37,26,0,0,10,https://www.coppel.com/funda-blob-para-iphone-7-y-8-plus-pm-2214033,https://www.liverpool.com.mx/tienda?s=funda+iphone+8//,,,https://www.walmart.com.mx/ip/accesorios-celulares/funda-movil-para-iphone-7-8-plus-x-xr-xs-max-moda-suave-para-telefono-11-pro-12-gucci-cubierta-trasera-de-tpu/00530322789581,44
fundas para iphone 8 plus mujer,Informational,90,23,0.00,0.85,7,4,0,26,15,https://www.coppel.com/funda-apple-para-iphone-7-plus-y-8-plus-pm-2602373,https://www.liverpool.com.mx/tienda?s=funda+iphone+8//,,https://www.bodegaaurrera.com.mx/ip/accesorios-celulares/funda-para-apple-iphone-8-plus-animal-print-vaca-tpu-policarbonato-instacase-iphone-8-plus/00750304149486,https://www.walmart.com.mx/ip/accesorios-celulares/funda-ultra-impacto-para-iphone-8-plus-uso-rudo-instacase-protector-para-iphone-8-plus-ultra-impacto-case-anticaidas/00750303718365,73
fundas para iphone 8 plus para niñas,Informational,90,29,0.00,0.86,8,6,0,23,10,https://www.coppel.com/funda-apple-para-iphone-7-plus-y-8-plus-pm-2602373,https://www.liverpool.com.mx/tienda?s=funda+iphone+8//,,https://www.bodegaaurrera.com.mx/ip/accesorios-celulares/color-popsiclecolor-popsicle-para-iphone-6-plus-6s-plus-7-plus-8-plus-funda-de-silicona-diseno-divertido-lindo-unico-fidget-estetico-fundas-para-ninos-ninas-jovenes-f/00143765002928,https://www.walmart.com.mx/ip/accesorios-celulares/disey-cartoon-disey-cartoon-para-iphone-6-plus-6s-plus-7-plus-8-plus-funda-de-silicona-diseno-divertido-lindo-unico-fidget-estetica-fundas-para-ninos-ninas-jovenes-fo/00142764890716,62
fundas para iphone 8 tumblr,Informational,90,30,0.00,0.00,33,22,0,0,0,https://www.coppel.com/funda-blob-para-iphone-7-y-8-plus-pm-2214033,https://www.liverpool.com.mx/tienda?s=funda+iphone+8//,,,,35
fundas para iphone apple,Navigational,90,37,0.00,0.84,11,7,0,15,23,https://www.coppel.com/fundas-y-carcasas-iphone,https://www.liverpool.com.mx/tienda/?s=fundas%20iphone//,,https://www.bodegaaurrera.com.mx/browse/celulares/accesorios-celulares/carcasas-para-iphone/264800_264823_264831,https://www.walmart.com.mx/browse/celulares/accesorios-celulares/carcasas-para-iphone/264800_264823_264831,12600000
fundas para iphone con agua,"Informational, Transactional",90,28,0.00,1.00,16,32,31,23,7,https://www.coppel.com/funda-ghostek-nautical-para-iphone-15-pro-max-negra-magsafe-contra-agua-mkp-439018295n2263,https://www.liverpool.com.mx/tienda/pdp/funda-para-iphone-14-pro-max-de-policarbonato/1128432651,https://www.chedraui.com.mx/funda-para-celular-3r-contra-agua-3711954/p,https://www.bodegaaurrera.com.mx/ip/accesorios-celulares/funda-impermeable-universal-olaf-para-iphone-x-xs-max-8-7-funda-bolsa-fundas-coque-funda-de-telefono-a-prueba-de-agua-para-samsung-s10-xiaomi-tan-jianjun-unisex/00485782346957,https://www.walmart.com.mx/ip/accesorios-celulares/funda-ghostek-nautical-para-iphone-13-negra-magsafe-contra-agua-ghostek-ghocas2885/00084023530101,97
fundas para iphone marmol,Informational,90,24,0.00,1.00,13,0,0,12,10,https://www.coppel.com/funda-esr-de-marmol-para-iphone-xs-x-color-negro-mkp-43901131,,,https://www.bodegaaurrera.com.mx/ip/accesorios-celulares/funda-de-marmol-para-iphone-13-funda-para-iphone-11-14-12-15-pro-max-xr-x-xs-7-8-16-plus-se-2020-funda-de-silicona-tpu-suave-a-prueba-de-golpes/00839122561322,https://www.walmart.com.mx/ip/accesorios-y-herramientas/-funda-laut-huex-para-iphone-12-y-12-pro-blanca-marmol-laut-l-ip20m-hxe-w/00489520691886,52
fundas para iphone verde,Informational,90,27,0.00,0.93,13,42,0,23,14,https://www.coppel.com/fundas-y-carcasas-iphone,https://www.liverpool.com.mx/tienda?s=fundas%2Biphone//,,https://www.bodegaaurrera.com.mx/ip/funda-de-silicona-cuadrada-verde-fluorescente-para-iphone-15-14-11-pro-max-13-12-mini-x-xr-xs-7-8-plus-se2-fundas-a-prueba-de-golpes-nueva/00521522440669,https://www.walmart.com.mx/ip/accesorios-celulares/funda-para-movil-retro-verde-oliva-para-apple-11-iphone13pr-max-12-simple-xr-xs-14/00935103110426,74
gadgets para iphone 8,Informational,90,30,0.00,0.00,12,9,0,62,34,https://www.coppel.com/accesorios-apple,https://www.liverpool.com.mx/tienda?s=funda+iphone+8//,,https://www.bodegaaurrera.com.mx/ip/accesorios-celulares/apple-funda-de-cuero-para-iphone-8-plus-y-iphone-7-plus-producto-rojo-apple-mqhn2zm-a/00019019849689,https://www.walmart.com.mx/ip/accesorios-celulares/funda-magnetica-con-vidrio-9d-para-iphone-8-plus-azul-atti-magnetica/00750303014302,24600000
gama alta de iphone,"Commercial, Informational",90,47,0.00,0.40,36,0,0,0,0,https://www.coppel.com/celulares-apple,,,,,69200000
gama celulares motorola,"Informational, Transactional",90,44,0.00,0.78,7,27,0,23,19,https://www.coppel.com/celulares-motorola,https://www.liverpool.com.mx/tienda/?s=motorola//,,https://www.bodegaaurrera.com.mx/browse/lp-celulares/marcas/celulares-motorola/320061_320132_320136,https://www.walmart.com.mx/browse/lp-celulares/marcas/celulares-motorola/320061_320132_320136,18200000
gama de celulares sony,"Informational, Transactional",90,37,0.00,0.24,11,44,0,0,78,https://www.coppel.com/sony-xperia,https://www.liverpool.com.mx/tienda?s=celular+sony//,,,https://www.walmart.com.mx/ip/smartphones/celular-sony-xperia-x-5-32gb-1302-5764/00009567386298,19400000
gama media 2019 celulares,"Commercial, Informational",90,28,0.00,0.00,97,0,0,0,0,https://www.coppel.com/blog/tecnologia-entretenimiento/los-mejores-celulares-gama-media-blg/,,,,,5250000
ganar credito para celular gratis,Informational,90,30,0.00,0.00,54,0,0,68,0,https://www.coppel.com/blog/tecnologia-entretenimiento/cambiate-a-redicoppel-y-haz-tu-recarga-de-celular-blg,,,https://www.bodegaaurrera.com.mx/ayuda/articulo/bait/edd551c19886423ab1bc4027973c483a,,92400000
